n_views,geometry_class,noise_std,n_drones,focal_px,standoff_m,coverage_pct,n_matched,recall,ghost_count,precision,f1,median_err_m,median_err_std,p95_err_m,frame_idx,match_threshold_m,min_spacing,epipolar_threshold_px,intersection_n,intersection_median_err_m
10,all_ground,0.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
10,all_ground,1.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.5436,0.0006,0.9081,0,1.5,3.0,3.0,0,0.0
10,all_ground,3.0,15,2666.6666666666665,2000.0,100.0,7.0,0.4667,9.5,0.4278,0.4455,1.188,0.0173,1.3944,0,1.5,3.0,3.0,0,0.0
12,all_ground,0.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
12,all_ground,1.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.3702,0.0428,0.6235,0,1.5,3.0,3.0,0,0.0
12,all_ground,3.0,15,2666.6666666666665,2000.0,100.0,6.0,0.4,12.5,0.3275,0.3601,1.0007,0.1703,1.1671,0,1.5,3.0,3.0,0,0.0
2,mixed,0.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
2,mixed,1.0,15,2666.6666666666665,2000.0,100.0,11.5,0.7667,3.5,0.7667,0.7667,0.9872,0.1849,1.4207,0,1.5,3.0,3.0,0,0.0
2,mixed,3.0,15,2666.6666666666665,2000.0,100.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,mixed,0.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,mixed,1.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.6228,0.08,1.1415,0,1.5,3.0,3.0,0,0.0
4,mixed,3.0,15,2666.6666666666665,2000.0,100.0,3.0,0.2,12.0,0.2,0.2,0.9136,0.1107,1.3719,0,1.5,3.0,3.0,0,0.0
6,mixed,0.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
6,mixed,1.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.5,0.9688,0.9839,0.6103,0.1287,1.1227,0,1.5,3.0,3.0,0,0.0
6,mixed,3.0,15,2666.6666666666665,2000.0,100.0,5.0,0.3333,11.5,0.3051,0.3185,0.9338,0.0568,1.2676,0,1.5,3.0,3.0,0,0.0
8,mixed,0.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
8,mixed,1.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.5913,0.0195,0.8306,0,1.5,3.0,3.0,0,0.0
8,mixed,3.0,15,2666.6666666666665,2000.0,100.0,9.0,0.6,8.0,0.5243,0.5591,0.9202,0.0603,1.2707,0,1.5,3.0,3.0,0,0.0
10,mixed,0.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
10,mixed,1.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.4877,0.0014,0.7825,0,1.5,3.0,3.0,0,0.0
10,mixed,3.0,15,2666.6666666666665,2000.0,100.0,5.5,0.3667,14.0,0.2803,0.3176,0.9524,0.0822,1.2022,0,1.5,3.0,3.0,0,0.0
12,mixed,0.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
12,mixed,1.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.3852,0.0002,0.6693,0,1.5,3.0,3.0,0,0.0
12,mixed,3.0,15,2666.6666666666665,2000.0,100.0,9.5,0.6333,6.0,0.6125,0.6226,0.8975,0.025,1.2829,0,1.5,3.0,3.0,0,0.0
2,surround,0.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
2,surround,1.0,15,2666.6666666666665,2000.0,100.0,12.5,0.8333,2.0,0.8619,0.8471,0.8926,0.0963,1.427,0,1.5,3.0,3.0,0,0.0
2,surround,3.0,15,2666.6666666666665,2000.0,100.0,2.0,0.1333,6.5,0.1667,0.1481,0.68,0.68,0.7078,0,1.5,3.0,3.0,0,0.0
4,surround,0.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
4,surround,1.0,15,2666.6666666666665,2000.0,100.0,14.5,0.9667,0.5,0.9667,0.9667,0.7503,0.0311,1.1309,0,1.5,3.0,3.0,0,0.0
4,surround,3.0,15,2666.6666666666665,2000.0,100.0,2.5,0.1667,13.0,0.1625,0.1645,1.1847,0.2346,1.2697,0,1.5,3.0,3.0,0,0.0
6,surround,0.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
6,surround,1.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,1.0,0.9412,0.9688,0.4982,0.0229,0.9359,0,1.5,3.0,3.0,0,0.0
6,surround,3.0,15,2666.6666666666665,2000.0,100.0,4.0,0.2667,14.0,0.2313,0.247,0.9621,0.1343,1.1115,0,1.5,3.0,3.0,0,0.0
8,surround,0.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
8,surround,1.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.5338,0.0071,0.8357,0,1.5,3.0,3.0,0,0.0
8,surround,3.0,15,2666.6666666666665,2000.0,100.0,5.5,0.3667,10.5,0.351,0.3583,1.036,0.0067,1.2782,0,1.5,3.0,3.0,0,0.0
10,surround,0.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
10,surround,1.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.412,0.0679,0.7883,0,1.5,3.0,3.0,0,0.0
10,surround,3.0,15,2666.6666666666665,2000.0,100.0,11.5,0.7667,6.0,0.6595,0.7078,0.9875,0.1075,1.3206,0,1.5,3.0,3.0,0,0.0
12,surround,0.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1.5,3.0,3.0,0,0.0
12,surround,1.0,15,2666.6666666666665,2000.0,100.0,15.0,1.0,0.0,1.0,1.0,0.446,0.0585,0.7736,0,1.5,3.0,3.0,0,0.0
